County,Registered Voters,Abrams.Election.Day,Abrams.Absentee.Mail,Abrams.Advance.In.Person,Abrams.Provisional,Abrams.Total ,Evans.Election.Day,Evans.Absentee.Mail,Evans.Advance.In.Person,Evans.Provisional,Evans.Total ,AllVotes.Total, PctTotal.Abrams , PctTotal.Evans ,Winner
Upson,0,458,11,185,0,654,95,3,69,0,167,821,0.797,0.203,Abrams
Walker,0,419,9,44,0,472,447,9,70,0,526,998,0.473,0.527,Evans
Walton,0,1104,25,183,0,1312,421,12,76,0,509,1821,0.72,0.28,Abrams
Ware,0,394,0,222,0,616,104,0,54,0,158,774,0.796,0.204,Abrams
Warren,0,151,24,66,0,241,56,12,34,0,102,343,0.703,0.297,Abrams
Washington,0,981,204,392,0,1577,371,94,231,0,696,2273,0.694,0.306,Abrams
Wayne,0,321,28,166,0,515,106,19,58,0,183,698,0.738,0.262,Abrams
Webster,0,64,23,17,0,104,21,3,7,0,31,135,0.77,0.23,Abrams
Wheeler,0,127,1,27,0,155,23,0,11,0,34,189,0.82,0.18,Abrams
White,0,201,13,66,0,280,137,18,68,0,223,503,0.557,0.443,Abrams
Whitfield,0,655,11,133,0,799,408,14,94,0,516,1315,0.608,0.392,Abrams
Wilcox,0,133,16,28,0,177,17,3,8,0,28,205,0.863,0.137,Abrams
Wilkes,0,368,21,71,0,460,135,1,48,0,184,644,0.714,0.286,Abrams
Wilkinson,0,511,29,113,0,653,314,23,61,0,398,1051,0.621,0.379,Abrams
Worth,0,300,46,101,0,447,116,17,58,0,191,638,0.701,0.299,Abrams
Total:,0,315908,8892,79832,20,404652,90159,3802,30147,13,124121,528773,0.765,0.235,Abrams
